"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI TIC MRM CID@25.0 (** -> **) MB_B28_PCB_03cal_20220507.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",1,28.194,28.422,28.666,401792.27,2340989.68,32.57,35.48,3.01,0.473,,2,44.52,1.99,18.67,,401802.31,,35.36,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",2,30.434,30.646,30.833,1015846.89,6055287.01,84.25,89.7,7.79,0.399,,44.97,197.62,44.96,0.38,,1015868.19,,89.39,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",3,30.939,31.159,31.265,429124.35,2517157.36,35.02,37.89,3.24,0.326,,99.99,11538.87,99.99,51.57,,429191.66,,37.76,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",4,31.265,31.404,31.485,607025.29,3595623.54,50.03,53.6,4.63,0.22,,11538.87,112874.52,101.09,6.98,,607067.13,,53.42,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",5,31.485,31.575,31.648,611350.92,3742871.23,52.07,53.98,4.82,0.163,,112874.52,245424.63,278.23,189.66,,611580.44,,53.8,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",6,31.648,31.697,31.86,353880.83,1803303.49,25.09,31.25,2.32,0.212,,245424.63,238.43,7.25,25.98,,353892.41,,31.14,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",7,32.137,32.292,32.455,599324.21,3413011.57,47.48,52.92,4.39,0.318,,6369.98,285.4,99.91,68.63,,599408.88,,52.74,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",8,33.465,33.717,33.809,586838.96,3392711.43,47.2,51.82,4.36,0.09,,40.37,57378.69,10.3,10.87,1.07,585518.63,,51.64,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",9,33.809,33.909,34.056,619264,3553479.87,49.44,54.68,4.57,0.09,,57378.69,923.31,10.87,11.29,1.07,621524.5,,54.49,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",10,34.056,34.26,34.399,824452.19,6999871.95,97.39,72.8,9.01,0.138,,923.31,33147.89,11.29,11.86,0.95,821608.94,,72.55,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",11,34.399,34.507,34.694,502931.84,3014830.12,41.95,44.41,3.88,0.093,,33147.89,1834.34,11.86,12.36,1.02,501786.09,,44.26,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",12,34.694,34.855,35.011,620565.34,3541656.37,49.27,54.79,4.56,0.089,,1834.34,746.36,12.36,12.89,1.06,613078.81,,54.61,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",13,35.011,35.212,35.321,1132529.99,7187558.85,100,100,9.25,0.099,,746.36,78643.54,12.89,13.41,1.06,1136395.13,,99.66,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",14,35.321,35.443,35.601,865501.27,6234086.37,86.73,76.42,8.02,0.115,,78643.54,3425.87,13.41,13.88,1.09,862330.63,,76.16,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",15,35.746,35.901,36.08,593105.37,3418061.44,47.56,52.37,4.4,0.334,,2091.08,549.88,14.11,37.35,,593130.25,,52.19,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",16,37.415,37.6,37.834,568797.39,3489647.36,48.55,50.22,4.49,0.095,,4772.13,1296.84,16.92,17.62,1,568151.56,,50.05,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",17,37.834,37.997,38.161,567119.94,3459250.56,48.13,50.08,4.45,0.095,,1296.84,1992.23,17.62,18.17,1.01,568774.94,,49.91,  ,186,,,,,,,,,,,
